"e, e",kb. 1 huruf kelima abjad Inggris.  2 Mus.: nada  E.
econometrics,kb. bagian dari ilmu ekonomi yang mengolah hubungan-hubungan ekonomis secara matematika.
economic,ks. ekonomis. e. problems masalah-masalah ekonomi. e. geography  ilmu bumi ekonomi.
economical,"ks. hemat, irit. an e. house rumah hemat.  He's very e. Ia sangat hemat. -economically kk. secara ekonomis."
economics,kb. ilmu ekonomi.  It's simply a matter of e.  Ini hanyalah masalah ekonomi.
economist,kb. ahli ekonomi.
economize,"kki. berhemat, menghemat. We'll have to e. this month Bulan ini kita harus berhemat."
economy,"kb. (j. -mies) 1 ekonomi, perekonomian. the e. of a country perekonomian negara. 2 penghematan. Av.: e. class ruang niaga, kelas ekonomi. economy - priced ks. harga murah."
ecstasy,kb. (j. -sies) kegembiraan yang luar biasa. She was overcome with e. Kegembiraannya meluap-luap.
ecstatic,ks. gembira luar biasa. -ecstatically kk. e. happy benar-benar bahagia.
ecumenical,"ks. 1 umum. 2 yang berhubungan dengan gereja Kristen. e. council dewan gereja, dewan urusan kegerejaan yang meliputi seluruh gereja Kristen."
eczema,kb. eksema.
ed.,"[edition] terbitan, cetakan."
ed.d.,[Doctor of Education] Doktor Ilmu Pendidikan.
ed.m.,[Master of Education] Sarjana Ilmu Pendidikan.
eddy,"kb. (j. -dies) olakan, kisaran, pusaran arus. -kki. (eddied) berkisar, berputar-putar."
eden,kb. taman firdaus.
edge,kb. 1 tepi. 2 pinggir. 3 tebing. -kkt. memberi pinggir. to e. o's way berjalan miring.
edgeways,edgeways
edgewise,#NAME?
edginess,"kb. 1 kegelisahan, kegugupan. r ketajaman."
edgy,"ks. lekas terganggu, tidak tenang."
edible,ks. dapat dimakan.
edict,"kb. dekrit, proklamasi, maklumat, pengumuman pemerintah/resmi."
edification,"kb. perbaikan, kemajuan/manfaat rohaniah, pendidikan."
edifice,kb. gedung/bangunan besar.
edified,lih  EDIFY.
edifies,lih  EDIFY.
edify,kkt. (edified) memperbaiki/memajukan pendidikan -edifying ks. yang membawa/ mendatangkan perbaikan.
edit,"kkt. 1 membaca dan memperbaiki (naskah), mempersiapkan (naskah) untuk diterbitkan. 2 memimpin redaksi. -editing kb. penelitian, pemeriksaan (of a manuscript)."
edit.,"1 [edition] cetakan, terbitan, edisi. 2 [editor] redaktur. 3 [edited] diperiksa (isi naskahnya)."
edition,"kb. terbitan, edisi, cetakan. a book in a third e. buku dalam edisi ketiga."
editor,"kb. redaktur, pemeriksa naskah untuk penerbitan. e.-in-chief pemimpin redaksi. To the E. Redaksi Yth."
editorial,kb. tajuk rencana. e. staff redaksi. -editorially kk. sebagai tajuk rencana. The newspaper commented e. on that issue Surat kabar mengulas hal itu didalam tajuk rencananya.
editorship,kb. jabatan redaktur.
"edt, e.d.t.",[Eastern Daylight Time] ukuran waktu siang hari bagian timur AS yang satu jam lebih cepat dari waktu setempat.
educate,"kkt. mendidik. -educated ks. berpendidikan, terpelajar."
education,kb. pendidikan. Ministry of E. Departemen Pendidikan.
educational,ks. yang berhubungan dengan pendidikan. e. film film pendidikan. e. institution sekolah.
educationist,kb. ahli mendidik.
educator,"kb. pendidik, ahli mendidik."
ee,[Electrical Engineer] insinyur listrik.
"eec, e.e.c.",[European Economic community] Organisasi Ekonomi Eropa.
eel,kb. belut.
eerie,"ks. ngeri, takut. e. feeling perasaan ngeri."
efface,kkt. 1 menghapus(kan). 2 to e. o.s. tidak memperlihatkan/menonjolkan diri.
effect,"kb. 1 pengaruh. 2 efek, akibat. for e. untuk gagah-gagahan.  -effects (personal) j. harta benda, milik. -kkt. 1 menyebabkan, mengakibatkan. 2 mengadakan, menjalankan."
effective,"ks. 1 berhasil, ditaati. 2 mengesankan. 3 berlaku. 4 mujar(r) rab, manjur, mustajab, effektip. -effectively kk. dengan hasil baik, dengan berhasil, effektip."
effectiveness,"kb. keefektipan, kemanjuran, kemujar(r)aban."
effeminacy,effeminacy
effeminate,"ks. keperempuan-perempuanan, bersifat seperti perempuan."
effervesce,kki. 1 membuih. Some soft drink e. Beberapa minuman tanpa alkohol membuih. 2 riang gembira.
effervescence,kb. sifat berbusa/berbuih. the e. of champagne sifat sampanye yang berbuih.
effervescent,"ks. 1 berbuih, berbusa, membuih. e. water air berbuih. 2 riang gembira."
effete,"ks. tak beguna lagi, payah, lelah. He's an e. individual Dia seorang  yang tidak berguna lagi."
efficacious,"ks. mujarab, manjur."
efficacy,"kb. (j. -cies) kemanjuran, kemujaraban."
efficiency,"kb. (j. -cies) 1 ketepatgunaan, efisiensi. 2 ketangkasan. e. expert seorang yang ahli dalam mempertinggi ketepatgunaan."
efficient,"ks. 1 tepatguna, berdayaguna, efisien. e. housekeeper pengatur rumah tangga yang tepat guna. 2 yang menghasilkan."
effigy,"kb. (j. -gies) gambar, patung. to burn/hang s.o.  in e. membakar/menggantung patung  seseorang."
efflorescence,"kb. kemekaran, keadaan sedang mekar, pembungaan, keadaan sedang berbunga."
efflorescent,"ks. berkembang, mekar, sedang berbunga."
effort,"kb. 1 usaha, upaya. 2 karya."
effortless,ks. tanpa tenaga/kesukaran. Driving this car is e. Mengemudikan oto ini tidak memerlukan tenaga.
effronery,"kb. (j. -ries) kekurang ajaran, kelancangan."
effusive,"ks. dengan perasaan tak terkendalikan, terlalu emosionil. He was e. in his praise Dia berlebih-lebihan dalam pujiannya. -effusively kk. dengan secara menyolok."
egalitarian,ks. seorang yang percaya bahwa semua orang sederajat.
egg,kb. telur. fried e.  telur ceplok (goreng). bad e. 1 telur busuk. 2 orang jahat.  -to e. on menghasut. e. beater pengopyok/pengocok telur. e. white putih telur. e. yolk kuning-merah telur.
egghead,"kb. Inf.: orang terpelajar, orang cerdik pandai."
eggnog,"kb. minuman telur kopyok (campuran telur kopyok, gula, susu, minuman keras dan pala)."
eggplant,kb. terung.
eggshell,"kb. kulit telur, kelompang."
