"e, e",kb. 1 huruf kelima abjad Inggris.  2 Mus.: nada  E.
euphemism,"kb. ungkapan pelembut, pelembutan."
euphony,kb. (j. -nies) sifat bunyi yang enak kedengarannya di telinga.
euphoria,kb. perasaan senang dan bahagia rohani dan jasmani.
eurasian,"kb., ks. orang Indo (-Eropa)."
europe,kb. Eropa(h).
european,"kb., ks. orang Eropa. E. countries negeri-negeri Eropa."
eustachian,kb. E. tube pipa/pembuluh Eustachio
euthanasia,kb. tindakan mematikan orang untuk meringankan penderitaan sekarat.
evacuate,kkt. 1 mengungsikan (an area). 2 mengosongkan (bowels).  -kki. mengungsi.
evacuation,kb. 1 pengungsian (of refugees). 2 pengosongan.
evacuee,kb. pengungsi.
evade,"kkt. menghindarkan, mengelakkan, menyingkiri. Don't e. the question Jangan mengelakkan pertanyaan itu."
evaluate,"kkt. menilai, mengevaluasi, menaksir.  How would you e. this book ? Bagaimana penilaianmu terhadap buku ini ?."
evaluation,"kb. evaluasi, penilaian,penaksiran."
evaluator,"kb. penilai, juru taksir."
evangelical,ks. evangelis.
evangelism,kb. (pekerjaan) penyebaran agama Nasrani.
evangelist,kb. pengabar Injil.
evaporate,kkt. menguapkan. Heat evaporates water Panas menguapkan air. -kki. menguap. Water evaporates Air menguap. -evaporated  ks. yang di uapkan.
evaporation,kb. penguapan.
evasion,"kb. penghindaran, pengelakan, penyingkiran."
evasive,"ks. bersifat mengelakkan, mengelak- elak. e. action tindakan yang mengelak."
eve,kb. malam. New Year's  e. malam Tahun Baru. Eve  kb.(siti) hawa
even,"ks. 1 rata, datar. 2 tetap, mantap. 3 seri. 4 genap. 5 lengkap. 6 tenang. 7 lurus, sejajar. 8 sama. 9 lunas. -kk. pun. -kkt. meratakan. -evenly  kk. kk. rata."
evening,kb. malam. -evenings j. di waktu malam.
evenness,"kb. sikap tidak memihak persamaan, keserasian, uniformitas, keadaan rata."
event,"kb. 1 peristiwa, kejadian. 2 pertandingan, perlombaan. in the e. that sekiranya, seandainya."
eventful,"ks. 1 penuh kejadian. 2 penting, luar biasa."
eventide,"kb. senja, malam."
eventual,ks. ks. (pada) akhirnya.  e. takeover by the insurgents pengambil-alih oleh pemberontak pada akhirnya. -eventually kb. akhirnya.
ever,"kk. 1 pernah. 2 sesungguhnya. for e. and e. untuk selama-selamanya, abadi. e. and anon sekali-sekali. e. since 1 (selalu) sejak. 2 sejak waktu itu."
evergreen,kb. pohon yang selalu berdaun hijau.
everlasting,"ks. abadi, tetap, kekal. -everlastingly kk. senantiasa, selalu saja.  He's e. doing s.t. he shouldn't  Dia senantiasa berbuat sesuatu yang seharusnya tidak boleh dia kerjakan."
every,"ks. (se)tiap, tiap-tiap. e. day tiap hari. Inf.: e. last tiap-tiap."
everybody,"kg. semuanya, semua orang. Will e. please move to the rear ? Silahkan semuanya pindah kebelakang."
everyday,ks. sehari-hari. e. accurrence peristiwa sehari-hari. e. clothes pakaian sehari-hari/pelasak.
everyone,kg. tiap orang. e. and his brother setiap/semua orang.
everything,"kg. segala sesuatu., segala-galanya."
everywhere,kk. dimana-mana. I looked e. for you Saya mencari kamu dimana-mana.
evict,"kkt. mengusir, mengeluarkan. to e. tenants mengusir penghuni-penghuni (rumah)."
eviction,"kb. pengusiran, pengeluaran. e. notice surat pengusiran."
evidence,"kb. 1 fakta-fakta. 2 bukti. 3 keterangan, tanda , petunjuk. conflicting e. keterangan yang saling bertentangan. -kkt. menunjukkan."
evident,"ks. terang, jelas. It was e. that... Adalah terang (sekali) bahwa)... evidently kk. dengan terang. He was e. broke Teranglah bahwa kantongnya sedang kempes."
evil,kb. kejahatan. -ks. ks. 1 jahat. 2 malang.  e. -minded ks. 1 berhati busuk. 2 (berpikiran) jahat.
evildoer,"kb. orang jahat, penjahat."
evince,kkt. menunjukkan dengan jelas. to e. interest in menunjukkan perhatian terhadap.
evoke,"kkt. 1 menimbulkan, membangkitkan. to e. pleasant memories menimbulkan kenang - kenangan yang menyenangkan.   2 menyebabkan timbulnya.  to e. a smile menyebabkan senyum."
evolution,"kb. evolusi, perkembangan."
evolutionary,ks. evolusioner.
evolve,"kkt. menyusun, memperkembangkan. -kki. berkembang."
ewe,kb. biri-biri betina.
ex officio,karena jabatan. ex officio member anggota (dewan) karena jabatannya.
ex-,"aw. bekas, ex-soldier bekas prajurit."
exact,"ks. 1 tepat. 2 persis, tepat. 3 eksakta. 4 seksama, terperinci, teliti. -kkt. 1 memeras. 2 meminta, memeras. 3 memerlukan, membutuhkan. -exacting ks. 1 sukar sekali, beret, sulit. 2 rewel. -exactly kk. 1 persisi, tepat, justru. 2 sebenarnya."
exaggerate,"kkt. 1 membesar-besarkan, melebih-lebihkan. 2 melebih - lebihkan.  -kki. berlebih-lebihan. -exaggerated ks. dilebih-lebihkan, dibesar-besarkan, berlebih-lebihan."
exaggeration,kb. pernyataan yang dilebih-lebihkan. It's no e. to say that ... Bukanlah sesuatu yang dibesar-besarkan kalau dikatakan bahwa....
exalt,"kkt. mengangungkan, memuliakan, memuji-muji.  -exalted ks. agung, mulia. e. ruler penguasa yang agung."
exam,inf.: = EXAMINATION.
examination,"kb. 1 pemeriksaan, kir.  physical e. pemeriksaan badan. 2 ujian (in scholl)."
examine,"kkt. 1 memeriksa (a patient, baggage, witness, record). 2 menguji (student)."
examinee,"kb. penempuh ujian, orang yang diuji."
examiner,"kb. 1 penguji. 2 pemeriksa (of customs, engine)."
example,"kb. contoh, teladan.  for e., by way  of e. misalnya, umpamanya."
exarbate,kkt. membuat lebih buruk. The medicine only exarbated the poin Obat itu hanya menambah rasa sakitnya saja.
exasperate,"kkt. menjengkelkan, menyakiti hati, menggusarkan.  -exasperating. ks. yang menjengkelkan, yang mendongkolkan."
exasperation,"kb. kejengkelan, kegusaran, kemarahan."
exc.,"[excellent] 1 ulung, baik sekali, unggul  2  [except] kecuali. 3 [exception] kekecualian, pengecualian."
excavate,kkt. menggali.
excavation,kb. penggalian.
excavator,kb. panggali (orang atau alat).
exceed,"kkt. 1 melebihi. 2 melampaui, melewati. -exceedingly. kk. sangat, sekali. e. charming sangat menawan hati."
excel,"kkt. (excelled) melampaui, mengatasi, melebihi, mengungguli. -kki. unggul."
excellence,kb. 1 keunggulan. 2 mutu yang baik sekali. the e. of that coffee mutu kopi itu yang sangat baik.
excellency,kb. (j. -cies) (Paduka) Yang Mulia.
excellent,"ks. ulung, baik sekali, unggul."
excelsior,"kb. ekselsior, terus semakin tinggi."
except,"kd. kecuali. e. that kalau tidak. -kkt. mengecualikan. -excepting kd. kecuali. e. my brother kecuali saudara laki-lakiku, selain dari saudara laki-lakiku."
exception,"kb. kekecualian, pengecualian. without e. tanpa kecuali."
exceptional,"ks. luarbiasa,  sangat, sekali. to do e. work melakukan pekerjaan yang luarbiasa. -exceptionally kk. luarbiasa, sangat, sekali."
excerpt,"kb. petikan, kutipan, kucilan. -kkt. mengutip, membuat petikan."
excess,"kb. 1 kelebihan. 2 perbuatan yang keterlaluan, kewalahan. -ks. kelebihan. e. paint kelebihan cat."
excessive,"ks. berkelebihan, terlalu banyak. The rent is e. Sewanya sangat tinggi."
exchange,kb. 1 penukaran. 2 Fin.: kurs. 3 pertukaran. 4 kantor (pusat).  5 (stock) bursa. -kkt. 1 bertukar. 2 menukarkan. 3 bertukaran. 4 tukar-menukar. 5 saling memberi.
exchangeable,ks. dapat ditukar(kan).
exchequer,kb. bendahara.
excise,"kb. pajak. e. on cigarettes pajak sigaret. -kkt. 1 memotong, mengeluarkan. 2 menghilangkan."
excision,"kb. 1 pengeluaran, penghilangan, pemotongan (of a tumor). 2 pengucilan (of a church, club)."
excitability,kb. sifat dapat dirangsang / digairahkan.
excitable,ks. dapat dirangsang/ digugah. She is easily  e. Ia mudah sekali dapat dirangsang.
excite,"kkt. membangkitkan gairah, menggairahkan.  -excited ks. 1 gembira. 2 gairah, kegairahan. 3 yang naik darah. 4 heboh. -exciting ks. 1 yang menggairahkan. 2 yang mengasyikkan."
excitement,"kb. 1 kegembiraan. 2 kegemparan, kehebohan. 3 (stimulation) (pe)rangsangan."
exclaim,kkt. berseru.  He exclaimed that... Ia menyerukan bahwa...  -kki. berseru.
exclamation,kb. 1 seruan. 2 kata seru. e. point tanda seru.
exclamatory,ks. secara berseru. e. sentence kalimat seru.
exclude,"kkt. 1 mengeluarkan, melarang masuk. Nonmembers are excluded from admission Mereka yang bukan anggauta  dilarang masuk. 2 meniadakan."
exclusion,kb. pengeluaran.e. of material pengeluaran bahan.
exclusive,"ks. ekslusip, sendirian, dengan tidak disertai yang lain, terpisah dengan yang lain.  -exclusively  kk. semata- mata.  for official use e. hanya untuk kepentingan kantor semata-mata."
excommunicate,kkt. mengucilkan.
excommunication,kb. pengucilan.
excoriate,"kkt. mencela, mengeritik."
excrement,"kb. kotoran badan, benda najis, benda-buang."
excrete,kkt. mengeluarkan (a fluid).
excretion,kb. 1 pengeluaran. 2 (sweat) kotoran badan.
excruciate,"kkt. menyiksa.  -ex-cruciating ks. mengerikan. -excruciatingly kk. bukan main, luar biasa."
excursion,"kb. 1 darmawisata, pesiar, ekskursi.  e. boat kapal pesiar. 2 penyimpangan (dari pokok persoalan)."
excuse,"kb. 1 alasan. 2 pernyataan menyesal, pernyataan maaf. -kkt. memaafkan. 2 membebaskan. 3 meminta maaf/permisi."
excute,"kkt.  1 menjalankan, melaksanakan. 2 melaksanakan, melakukan.  3 membuat, mengerjakan menurut rencana. 4 menghukum mati, menjalankan hukuman mati."
execrable,"ks. buruk sekali, benar-benar terlalu /keterlaluan. Her Dutch is e. Bahasa Belandanya buruk sekali."
execution,"kb. 1 pelaksanaan.  2 Law : menghukum mati, pelaksanaan hukum mati. 3 pembuatan . 4 penandatanganan, pengesahan / pengabsahan dengan penandatanganan."
executioner,kb. algojo.
executive,"kb. pelaksana, eksekutip, laksanawan (of a firm).  -ks. 1 eksekutip. 2 pelaksana. e. board meeting rapat kepala-kepala bagian."
executor,"kb. wali, pengawas seseorang yang dalam surat wasiat ditunjuk sebagai pelaksana dari ketentuan-ketentuan dalam surat wasiat."
executrix,kb. wali wanita.
exegesis,"kb. penjelasan, penafsiran."
exemplary,ks. patut dicontoh. e. behavior  kelakuan yang patut dicontoh.
exemplification,kb. 1 pemberian contoh. 2 contoh.
exemplify,kkt. (exemplified) 1 memberikan contoh. 2 menunjukkan. His manners e. his breeding Tingkah lakunya menunjukkan didikannya.
exempt,"ks. dibebaskan. e. from taking examinations dibebaskan dari ujian. -kkt. membebaskan, mengecualikan."
exemption,"kb. 1 pembebasan.  e. from military duty pembebasan dari dinas militer. 2 pengecualian, potongan (for income tax purposes)."
exercise,"kb. 1 gerak badan. 2 latihan. 3 penggunaan, penghikmatan.  -kkt. 1 menggunakan (a right, duty). 2 menjalankan, melakukan. 3 mengadakan. 4 meminta perhatian. -kki. bergerak badan."
exert,"kkt. menggunakan, mendesak. to e. pressure menggunakan tekanan."
exertion,"kb. 1 penggunaan, penyelenggaraan. 2 pemerasan / pengerahan tenaga, usaha."
exfoliation,kb. pengelupasan kulit.
exhalation,kb. pernapasan keluar.
exhale,"kkt. mengeluarkan (dengan bernafas), menghembuskan. to e. air from the lungs mengeluarkan udara dari paru-paru. -kki. mengeluarkan napas."
exhaust,"kb. tempat atau alat pembuangan uap atau gas. -kkt.  1 meletihkan, menghabiskan tenaga. 2 melemahkan.  3 menanduskan.  4 menyelesaikan.  -exhausted ks. 1 kehabisan tenaga, sangat letih. 2 habis, terpakai. -exhausting ks. meletihkan, melelahkan."
exhaustion,"kb. kelelahan, keletihan, kepayahan. to be in a state  of e. dalam keadaan sangat lelah."
exhaustive,"ks. yang mendalam, lengkap. e. search penyelidikan yang mendalam."
exhibit,"exhibit , kb.pameran"
exhibition,"kb. pameran, pertunjukan. He gave e. of temper Ia memperlihatkan kemarahan yang besar sekali."
exhibitionist,kb. orang yang suka sekali memperlihatkan kecakapan-kecakapannya.
exhilarate,"kkt. meriangkan, menggembirakan. The atmosphere exhilarated us Suasananya meriangkan kami. -exhilarating ks. yang menyegarkan, yang meriangkan."
exhilaration,"kb. keriangan, kegembiraan."
exhort,kkt. mendesak. to e. s.o. to greater efforts mendesak seseorang untuk berusaha lebih keras.
exhortation,"kb. 1 desakan. 2 nasihat, peringatan."
exhume,kkt. menggali (dari kuburan).
exigency,"kb. (j. -cies) urgensi, keadaan darurat."
exile,"kb. 1 pembuangan, pengasingan. 2 orang buangan. He was sent into e. Dia dibuang. Dia diasingkan. -kkt. mengasingkan, membuang."
exist,kkt. 1 ada. 2 hidup.- existing ks. yang ada. in e. circumstances dalam keadaan demikian.
existence,"kb. 1 adanya.  to be aware of its e.  sadar akan adanya. 2 kehidupan, keadaan hidup. to come into e. menjelma, menjadi ada."
existential,ks. eksistensial.
existentialism,kb. eksistensialisme.
exit,"kb. (jalan) keluar. to make a hasty e. keluar dengan cepat. -kkt. keluar, pergi, meninggalkan."
exodus,kb. 1 kepergian banyak orang. the June e. from school kepergian anak- anak dari sekolah dalam bulan  Juni. 2 Bible : Keluaran.
exogamy,"kb. eksogami, perkawinan diluar suku, perkawinan campuran."
exonerate,"kkt. membebaskan dari tuduhan/celaan, membuktikan tidak bersalah."
exorbitant,ks. melebihi yang biasa. e. price for a house harga yang terlalu tinggi untuk sebuah  rumah.
exorcise,"kkt. mengusir setan, membebaskan dari roh jahat. to e. a  spirit from s.o. mengusir roh jahat dari tubuh seseorang, membebaskan seseorang dari roh jahat."
exotic,"ks.  aneh-aneh, luar biasa, asing. e. dishes makanan-makanan yang aneh-aneh, makanan dari negeri asing."
expand,"kkt. memperluas, mengembangkan. to e. a business memperluas perusahaan. -kki. mengembang, meluas, memuai. -expanding ks. yang mengembang/berkembang."
expandable,ks. dapat diperluas/di(per)kembangkan.
expanse,kb. suatu ruang/bidang/permukaan yang luas. An ocean is a large e. of water Samudera adalah permukaan air yang luas.
expansion,"kb. 1 perluasan (of business). 2 pengembangan, pemuaian (of ballon, metal). 3 ekspansi."
expansive,ks. 1 luas. 2 meluap-luap. He's in on e. mood  Perasaannya meluap-luap.
expatiate,kki. mengarang/bercakap dengan panjang-- lebar.
expatriate,"kb., ks. seorang yang melepas kewarganegaraannya. e. writer penulis dalam pengasingan. -kkt. 1 meninggalkan negeri asalnya. 2 mengusir, membuang (dari negeri asalnya)."
expect,kkt. 1 mengharapkan. to e. him home tonight mengharapkan dia pulang malam ini.  2 menyangka.  3 mengira. What did you e. me to do ? Apa yang kau kira akan saya perbuat/lakukan ?
expectancy,"kb. (j. -cies) 1 pengharapan. 2 harapan. life e. harapan lamanya orang hidup, harapan panjangnya umur seseorang."
expectant,"ks. 1 yang mengandung harapan.  an e. smile senyuman yang mengandung harapan. 2 yang sedang mengandung, hamil. e. mother ibu yang sedang mengandung."
expectation,"kb. (peng) harapan, dugaan. beyond expectations diluar dugaan."
expectorate,kki. meludah.
expediency,"kb. (j. -cies) keadaan yang layak, kelayakan, kebijaksanaan, kemanfaatan, kegunaan."
expedient,kb. jalan yang berguna sekali. -ks. bijaksana. to take an e. course mengambil jalan yang bijaksana.
expedite,"kkt. mempercepat, melancarkan.  It will e. matters if we cooperate Dengan bekerja sama kita akan menyelesaikan hal-hal lebih cepat."
expediter,kb. ekspeditur.
expedition,kb. 1 ekspedisi. 2 kecepatan.
expeditious,"ks. 1 cara terbaik, tepat guna. 2 cepat."
expel,"kkt. (expelled) 1 mengeluarkan, memaksa keluar. 2 mengeluarkan, menghembuskan. 3 membuang (from society group)."
expend,"kkt. 1 mengeluarkan, membelanjakan to e. money mengeluarkan uang. 2 mencurahkan. to e. time on a project mencurahkan waktu untuk suatu rencana."
expendable,ks. dapat dihabiskan.
expenditure,"kb. pengeluaran, belanja."
expense,"kb. biaya, ongkos. at the e. of 1 atas biaya. 2 dengan mengorbankan. -expenses j. ongkos-ongkos, pengeluaran-pengeluaran."
expensive,ks. mahal.
experience,kb. pengalaman. -kkt. mengalami. -experienced ks. berpengalaman. He is e. in reporting Ia sudah berpengalaman sebagai wartawan.
experiment,"kb. percobaan, eksperimen.  e. station balai percobaan/penyelidikan.  -kki. mengadakan percobaan (on/with dengan)."
experimental,ks. bersifat percobaan. e project proyek percobaan.
experimentation,"kb. (pelaksanaan suatu) percobaan, pencobaan."
expert,kb. ahli.    to call in an e. minta nasehat seorang ahli. -ks. ahli. e. advice nasehat seorang ahli.
expertise,kb. keahlian.
expiration,"kb. 1 waktu berakhir.  e. date on an insurance policy tanggal berakhirnya polis asuransi. 2 penghembusan nafas terakhir, mati, meninggal."
expire,"kki. 1 berakhir, habis waktunya.  The policy has expired Polis itu telah berakhir. 2 (die) meninggal. -expired ks. daluwarsa (of a policy, treaty, contract)."
expiry,"kb. (j. -ries) waktu berakhir, habis waktu."
explain,"kkt. menerangkan, menjelaskan. to e. away  menghilangkan dengan memberi alasan."
explanation,"kb. keterangan, penjelasan. We owe an e. for... Kita perlu memberi keterangan tentang..."
explanatory,ks. bersifat menjelaskan. to provide some e. remarks memberikan keterangan-keterangan yang bersifat mejelaskan.
expletive,"kb. 1 kata seru/lontaran. 2 kata yang tak ada artinya, kata pengisi."
explicit,"ks. 1 tegas, eksplisit.  2 jelas.  -explicitly kk. dengan tegas, secara eksplisit."
explode,"kkt. meledakkan, meletuskan (dynamite).  -kki. 1 meledak, meletus. 2 marah sekali."
exploit,"kb. perbuatan yang berani/luarbiasa. -kkt. 1 mengeksploitir (s.o.). 2 mengeksploitasi, memanfaatkan. to e. the mineral resources mengeksploitasi sumber-sumber mineral."
exploitation,"kb. eksploitasi, pengharapan, pemerasan."
exploration,"kb. eksplorasi, penjelajahan."
exploratory,"kb. yang berhubungan dengan penyelidikan untuk suatu penemuan. e. talks pembicaraan mengenai usaha-usaha penyelidikan, pembicaraan bersifat penyelidikan."
explore,"kkt. 1 menjelajahi (an island, cave). 2 menyelidiki (opportunies). 3 memeriksa (a wound). -kki.  mengadakan penyelidikan.  to e. for uranium mengadakan penyelidikan untuk menemukan uranium."
explorer,kb. penjelajah.
explosion,"kb. letusan, ledakan, letupan. e. of anger kemarahan yang meledak."
explosive,kb. 1 bahan peledak. 2 Phon.: bunyi eksplosif. -ks. bersifat meledak. e. temper sifat orang yang suka marah dengan tiba-tiba.
exponent,"kb. 1 orang yang menerangkan/menguraikan. 2 eksponen, pangkat dalam aljabar. 3 contoh, lambang."
exponential,ks. yang berhubungan dengan eksponen aljabar. e. curve garis lengkung yang tergantung dari suatu fungsi eksponen.
export,kb. (bahan) ekspor. -kkt. mengekspor.
exporter,kb. eksportir.
expose,"kkt. 1 membuka, menyingkapkan terhadap cahaya (film). 2 membongkar. -exposed ks. yang tidak tersembunyi/terlindung. e. to the air kena udara, terbuka terhadap udara."
expose`,"kb. pembongkaran, pembeberan."
exposition,"kb. 1 (exhibit) pameran, pertunjukan, eksposisi. 2 penjelasan yang terperinci. 3 karangan yang menjelaskan sesuatu proses atau gagasan, perawian."
expostulate,"kki. 1 bertukar pikiran dengan sungguh-sungguh. 2 berbantah, membantah"
expostulation,kb. 1 peringatan. 2 bujukan.
exposure,"kb. 1 pembukaan. 2 kedapatan, pembongkaran. 3 pencahayaan (of film). e. meter  meteran cahaya pada alat pemotret."
expound,kkt. menjelaskan/menguraikan secara terperinci.
express,"kb. kereta api kilat. -ks. 1 kilat. 2 jelas, tegas, tepat. -kk. dengan ekspres.  -kkt. 1 menyatakan, mengutarakan, mengungkapkan. 2 memperlihatkan. 3 menandakan. 4 mengirimkan dengan ekspres. 5  mengucapkan, menyatakan. 6 menyampaikan."
expression,"kb. 1 ungkapan, ucapan. 2 pernyataan. 3 perasaan, ekspresi. 4 tanda, lambang."
expressive,ks. bersifat menyatakan perasaan. Her face was e. of her feelings Mukanyamembayangkan perasaan-perasaannya.
expressly,kk. 1 dengan jelas. 2 (dengan) sengaja.He went e. to avoid you Ia sengaja pergi untuk menghindari kamu.
expressman,kb. (j. -men). petugas (cepat) pada perusahaan pengiriman barang-barang dengan cepat.
expressway,kb. jalan raya untuk lalu lintas kendaraan cepat.
expropriate,kkt. mengambil alih. The government expropriated the firm Pemerintah mengambil alih perusahaan itu.
expropriation,kb. pengambilan alih.
expulsion,"kb. 1 pengusiran (from school). 2 pengenyahan, pengeluaran dengan paksa (of undersirables)."
expunge,"kkt. menghapus, menghilangkan, mencoret.  E. those remarks from the court record Hapuslah pernyataan-pernyataan itu dari catatan pengadilan."
expurgate,"kkt. menghilangkan bagian-bagian atau kata-kata yang tidak patut (dari buku, surat dsb).   expurgated  version versi yang telah banyak dihilangkan bagian-bagiannya yang tidak patut."
exquisite,"ks. 1 indah sekali, sangat elok.  2 halus sekali. 3 hebat sekali. -exquisitely kk. dengan sangat indah, secara halus."
exsistent,ks.  =  EXISTING.
ext.,1 [extension] sambungan. 2 [external] ekstern/luar. 3 [extra] ekstra/tambahan.
extant,ks. (masih) ada. His manuscripts are still e. Naskah-naskahnya masih ada.
extemporaneous,ks. yang dilakukan tanpa persiapan. e. speech pidato yang diucapkan tanpa persiapan.
extend,"kkt. 1 memperpanjang (a visa, ladder, vacation. 2 menyampaikan. 3 mengulurkan. 4 memberikan. 5 memperluas. -kki. sampai. extended ks. secara luas, diperpanjang."
extension,"kb. 1 perpanjangan (time, visa). 2 perluasan. e. cord kawat sambungan, kabel penyambung."
extensive,ks. luas. e. search pencaharian yang luas.
extent,kb. 1 luas. e. of the plain luas dari dataran itu.   2 tingkat. The e.  of the crime is still not known Tingkat kejahatan itu belum lagi diketahui.
extenuate,"kkt. memperlunak, memperingan. -extenuating ks. yang meringankan. e. circumstances keadaan-keadaan yang meringankan."
exterior,kb. 1 bagian luar. e. of a house bagian luar rumah. 2 lahirnya. He has  a severe e. Ia pada lahirnya seorang yang keras. -ks. (sebelah) luar.e. angle sudut luar.
exterminate,"kkt. membasmi,  memusnahkan. to e. mosquitoes  membasmi nyamuk."
extermination,"kb. pembasmian nyamuk, pemusnahan."
exterminator,kb. 1 pembasmi. 2 (instrument) alat pembasmi.
external,"kb. externals j. rupa, keadaan luar. -ks. 1 luar. e. ear telinga luar. 2 luar negeri. e. affairs urusan-urusan luar negeri."
extinct,"ks. 1 padam. The fire is e. Api itu telah padam. 2 mati. The cigarette is e. Rokok itu mati. 3 punah, hilang. an e. animal binatang yang punah."
extinction,"kb.  1 pemadaman (of lights). 2 pematian (of cigarette). 3 kepunahan, punahnya (of species)."
extinguish,kkt. 1 memadamkan. to e. a flame memadamkan api. 2 mematikan. to e. the lights mematikan lampu.
extinguisher,kb. alat pemadam. fire e. alat pemadam api.
extol,kkt. memuji. to e. her beauty to the skies memuji kecantikannya setinggi langit.
extort,kkt. memeras. to e. money from s.o. memeras uang dari seseorang.
extortion,"kb. pemerasan, penghisapan."
extortioner,kb. pemeras.
extortionist,kb. pemeras.
extra,"kb. 1 edisi tambahan (of a newspaper). 2 Film : figuran. -extras j. pengeluaran-pengeluaran tambahan. -ks. ekstra, tambahan. kk. istimewa."
extract,"kb. sari, kutipan. -kkt. 1 mencabut (a tooth). 2 menyadap (sap from trees). 3 menyuling. 4 mengeduk, menggali. 5 memeras, memaksakan. e. of vinegar  biang cuka."
extraction,kb.1 pencabutan (of tooth). 2 keturunan. of Polish e. keturunan Polandia.
extractive,ks. yang dikeduk/digali. e. industries industri yang menghasilkan bahan-bahan baku.
extracurricular,ks. diluar rencana pelajaran. e. activities aktivitas ekstrakurikuler
extradite,kkt. menyerahkan. to e. a prisoner to a neighboring state menyerahkan seorang tawanan kepada negara bagian tetangga.
extradition,kb. penyerahan tawanan.
extramural,ks. diluar sekolah. e. sports olahraga diluar sekolah.
extraneous,ks. 1 yang tak ada hubungannya. e. remarks ucapan-ucapan yang tak ada hubungannya. 2 asing (matter).
extraordinary,ks. luarbiasa. He has an e. capacity for food Ia luar biasa kuatnya makan. extraordinarily kk. secara luar biasa.  His remarks proved to be effective Pernyataannya ternyata luarbiasa tepatnya.
extrapolate,kkt. kki. memperhitungkan/meramalkan kemungkinan. to e. from the reactions received meramalkan kemungkinan atas dasar reaksi-reaksi yang diterima.
extrapolation,"kb. ramalan, perhitungan."
extrasensory,ks. diluar jangkauan/tanggapan normal pencaindra. e. perception tanggapan diluar pancaindra.
extraterritoriality,kb.keadaan atau hal mempunyai hak-hak ekstraterritorial.
extravagance,"kb. 1 keroyalan, pemborosan. 2 yang berlebih-lebihan. the e. of some advertising beberapa periklanan yang berlebih-lebihan."
extravagant,"ks. ks. boros, royal. 2 luarbiasa. 3 yang berlebih-lebihan (praise). -extravagantly kk. secara mewah sekali."
extravaganza,kb. pertunjukan (musik) yang hebat sekali.
extreme,"kb. perbedaan yang besar. in the e. sangat, sungguh-sungguh. -ks. 1 ekstrim, ekstrem.  2 hebat sekali, bukan main/buatan. 3 keras. 4 bukan main. 5 tertinggi. e. penalty hukum mati. -extremely kk. luarbiasa, sekali."
extremist,kb. ekstremis.
extremity,kb. (j. -ties) 1 kaki  dan tangan. His lower extremisties were  burned Kakinya terbakar. 2 kebutuhan yang sangat.
extricate,kkt. melepaskan. to e. a child from a fence melepaskan anak dari pagar.
extrovert,kb. orang yang mementingkan hal-hal lahir.
exuberance,"kb. 1 kegembiraan yang besar sekali. 2 kesuburan, kerimbunan. e. of foliage kesuburan daun-daunan."
exuberant,"ks.1 gembira sekali. 2 banyak sekali. 3 subur, rimbun."
exude,"kkt. 1 memancarkan (confidence, sweetness). 2 menetes (sweat)."
exult,kki. bersuka-ria. to e. in o's good fortune bersuka-ria karena bernasib baik.
exultant,"ks. gembira, yang menunjukkan kegembiraan. e. shout sorak/seruan/teriakan gembira."
exultation,kb. kegembiraan yang meluap-luap.
eye,"kb. mata.  without batting an e. tanpa memejamkan sebelah matapun. -kkt. 1 memandang. 2 mempertimbangkan.  eye-catching ks. menyolok, menarik (perhatian).  e. opener 1 sesuatu yang tidak disangka-sangka. 2 yang menakjubkan."
eyeball,"kb. biji/bola mata, mata-bola."
eyebrow,kb. alis mata. to raise an e. at s.t. heran ketika melihat atau mendengar sesuatu.
eyedropper,kb. (pompa) penetes mata.
eyeful,"kb. sebanyak yang dapat dilihat oleh mata pada satu ketika. She presented quite an e. in her new outfit Dia sedap, dipandang dalam pakaian barunya."
eyeglasses,"kb. j. kacamata, tesmak."
eyelash,kb. bulumata. Our team lost by an e. Regu kami kalah tipis.
eyelet,kb. lubang tali (seperti pada sepatu).
eyelid,kb. kelopak mata.
eyepatch,kb. tutup mata.
eyepiece,kb. lensa mata. e. on a microscope lensa mata pada mikroskop.
eyeshade,eyeshade
eyesight,kb. penglihatan. to have good  e. mempunyai penglihatan yang baik.
eyesore,kb. yang merusak pemandangan. That  house is an e. Rumah itu merusak pemandangan.
eyestrain,kb. kelelahan/ketegangan mata.
eyetooth,"kb. gigi taring disebelah atas.  to cut o's e. yang tidak hijau lagi, melampaui masa  kekanak-kanakan."
eyewash,kb. obat  cuci mata. Sl.: What he said  was pure e. Apa yang    dikatakannya itu  omong kosong belaka.
eyewitness,"kb. saksi mata, saksi yang melihat dengan mata sendiri. to give on e. account memberi laporan pandangan mata."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
