jealousy,"kb. (j. -sies) kecemburuan, perasaan iri hati."
jean,kb. kain drill. -jeans j. (celana) jengki.
jeep,"kb. jip, jeep, yip."
jeepers,kseru. sompret !
jeer,"kb. ejekan, cemooh. -kkt. mencemoohkan, memperolok-olokkan, mengejek. -kki. to j. at mencemoohkan. -jeering kb. sorakan/teriakan cemoohan."
jehovah,kb. Tuhan orang Yahudi.
jejune,ks. kurus-kering.
jell,"kki. 1 membeku (salad, plans). 2 mengental, mengeras (of jello)."
jellied,ks. yang dibeku. j. salad selada yang dibeku.
jello,kb. makanan agar-agar diberi bau buah-buahan.
jelly,kb. (j. -lies) sele.
jellybean,kb. semacam gula-gula agar.
jellyfish,kb. 1 ubur-ubur. 2 Inf.: orang yang wataknya lemah.
jellyroll,kb. bolu-gulung pakai sele halus.
jeopardize,kkt. membahayakan. The plans were jeopardized when... Rencana itu terancam bahaya ketika....
jeopardy,"kb. bahaya, risiko. to be in j. dalam bahaya."
jerk,"kb. 1 sentakan, renggutan (of rope). 2 Sl.:  orang tolol. -kkt. merenggutkan. -kki. tersentak."
jerkwater,ks. Sl.: tidak terletak di jalan besar. j. town kota yang letaknya jauh dari jalan besar.
jerky,"ks. tersentak-sentak, tertegun-tegun. His hand is j. Tangannya tersentak-sentak."
jerry,"ks. j. can jerigen, jeriken. jerry-built ks. dibangun secara serampangan. j. -built house rumah yang tidak kuat buatannya."
jersey,kb. 1 baju kaos. football j.  baju kaos pemain sepak-bola. 2 kain rajutan.  J. lembu Jersey (cow). Isle of J. Pulau Jersey.
jerusalem,kb. Bait'almukaddis.
jest,"kb. olok-olok, senda-gurau, lelucon. He made the remark in j. Dia mengeluarkan ucapan dengan senda gurau. -kki. berolok-olok. to j. at menertawakan."
jester,kb. pelawak.
jesting,jesting
jesus,kb. Nabi Isa.
jet,kb. 1 Av.: jet. 2 pancaran (of water). -kki. (jetted) 1 memancar. 2 naik jet. -ks. hitam pekat. j. hair rambut yang hitam pekat. jet-black ks. hitam legam/pekat.
jetliner,kb. pesawat penumpang jet.
jetsam,kb. barang-barang yang dibuang dari kapal (untuk meringankan kapal).
jettison,kkt. membuang barang-barang keluar (dari kapal atau pesawat terbang untuk meringankannya).
jetty,"kb. (j. -ties) dermaga, tembok di laut, pelindung pelabuhan."
jew,kb. orang Yahudi. Jew-baiting kb. penguberan orang-orang Yahudi. -kkt. Sl.: menawar sampai harga rendah.  jew's-harp kecapi mulut.
jewel,kb. 1 (batu) permata. 2 batu (in a watch). She a real j. Dia sungguh-sungguh seorang yang amat baik.
jeweler,"kb. jauhari, tukang emas."
jewelry,kb. barang-barang perhiasan. costume j. barang perhiasan (dari permata bikinan).
jewess,kb. Yahudi wanita.
jewish,ks. Yahudi. He is J.  Dia Yahudi.
jewry,kb. golongan Yahudi.
"jg, j.g.",[junior grade] lih  LIEUTENANT.
jib,kb. tlayar topang. Inf.: I like the cut of his j. Saya senang melihat tampannya.
jibe,"kki. bersesuaian, cocok (with dengan). The two stories do not j. Kedua cerita itu tidak cocok satu sama lain."
jiffy,"kb. (j. -ties) Inf.: sekejap mata, dengan cepat.  to do s.t. in a j. mengerjakan sesuatu  dalam sekejap mata."
jig,"kb. tarian gerak cepat. Sl.: The j. is up Sudah tidak ada harapan lagi. -kki. (jigged) menari (dengan irama cepat), berjoget (cepat)."
jigger,"kb. 1 gelas kecil (untuk mengukur minuman kecil). 2 Inf.: anu.  What's that j. called ? Anu itu apa namanya? -kkt. Sl.: menyunglap (angka), mengacau-balaukan."
jiggle,kkt. menggoncangkan. -kki. bergoncang.
jigsaw,kb. gergaji ukir. j. pattern pola/potongan mozaik. j. puzzle teka-teki menyusun potongan-potongan gambar.
jilt,"kkt. menolak cinta, memutuskan hubungan percintaan."
jim,kb. J. Grow orang Negro. J. -Crow car kereta khusus untuk orang-orang Negro. jim-dandy kb. Sl.: seseorang yang sangat bagus. ks. Sl.: bagus sekali. j.-dandy car mobil yang bagus sekali.
jimmy,"kb. (j. -mies) linggis kecil. -kkt.(jimmied) mendobrak, mengungkit."
jingle,"kb. 1 bunyi. 2 sajak. -kkt. menggerincingkan (a bell, coin, keys). -kki. bergemerinsing (of a bell, keys, coins)."
jingoism,kb. cinta  tanah air yang berlebih-lebihan.
jinx,"kb. Sl.: nasib malang, orang/barang yang membawa sial. -kkt. Sl.: membawa nasib malang/sial. to j. s.o. membawa sial bagi seseorang."
jitney,"kb. Sl.: opelet, bis rakyat."
jitterbug,kki. Inf.: berdansa jitterbug.
jitters,"kb., j. Inf.: kegugupan (yang luar biasa). to get the j. menjadi gugup. She gives me the j. Ia membuat saya gugup sekali."
jittery,"ks. gelisah, gugup."
